Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Light Trapping for Tandem Solar Cells",https://arena.gov.au/projects/light-trapping-for-tandem-solar-cells/,"Solar energy","This project is a study of solar photovoltaic (PV) technologies to develop industry compatible procedures for increasing light absorption in III-V/silicon tandem solar cells.
",$284k,$284k,"Australian National University","Post Fellowship Doctorate",01/10/2012,"Australian Capital Territory, Canberra",None,Past
"Highly Efficient and Stable Photoluminescent Nanocrystal Ink",https://arena.gov.au/projects/highly-efficient-and-stable-photoluminescent-nanocrystal-ink/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop a highly efficient and stable photoluminescent ink for improved spectral response in photovoltaic cells.
",$347k,$347k,"Swinburne University of Technology","Post Fellowship Doctorate",01/10/2012,"Hawthorn, Victoria",None,Past
"Energy Yield of Photovoltaic Power Systems",https://arena.gov.au/projects/energy-yield-of-photovoltaic-power-systems/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to improve translation models for predicting the energy yield of PV power systems.
",$109k,$109k,CSIRO,"Post Fellowship Doctorate",01/10/2012,"Mayfield West, New South Wales",None,Past
"Wizard Power Big Dish Upgrade",https://arena.gov.au/projects/wizard-power-big-dish-upgrade/,"Concentrated solar thermal","This project is a study of research and development of solar thermal technologies to investigate international best practice for integration with Wizard Power’s Big Dish.
",$8k,$8k,"Wizard Power","Post Fellowship Doctorate",30/09/2012,"Australian Capital Territory, Turner",None,Past
"Improving Translation Models for Predicting Energy Yields",https://arena.gov.au/projects/improving-translation-models-for-predicting-the-energy-yield-of-photovoltaic-pv-power-systems/,"Solar energy","To reduce the investment risk for large-scale photovoltaic power plants, CSIRO and its partners investigated the relationship between the manufacturer’s power rating for solar panels and the energy the panels generate over time.
",$1.31m,$3.19m,CSIRO,"Australian Solar Institute",12/09/2012,"New South Wales","National Renewable Energy Laboratory (NREL), Desert Knowledge Australia Solar Centre and Lend Lease",Past
"Integrated Solar Radiation Data Sources over Australia",https://arena.gov.au/projects/integrated-solar-radiation-data-sources-over-australia/,"Solar energy","CSIRO and its partners developed Australia’s first comprehensive solar radiation data set to help the solar energy industry measure and characertise the expected output of large scale solar power plants.
",$678k,$1.4m,CSIRO,"Australian Solar Institute",01/09/2012,"Australian Capital Territory","National Renewable Energy Laboratory (NREL) and the Bureau of Meteorology (BoM)",Past
"Climate-Based PV Performance and Reliability",https://arena.gov.au/projects/climate-based-pv-performance-and-reliability/,"Solar energy","This project will provide a publicly available, high quality PV performance database containing location-specific technical, operational and performance data.
",$268k,$579k,"Australian Photovoltaic Institute (APVI) (participants University of NSW, CAT Projects and Murdoch University)","Australian Solar Institute",01/09/2012,"New South Wales",None,Past
"Distributed Energy Market",https://arena.gov.au/projects/a-distributed-energy-market-consumer-and-utility-interest-and-the-regulatory-requirements/,"Distributed energy resources","The Distributed Energy Market project assessed a range of ways in which customers and electricity utilities might participate in a distributed energy market.
",$174k,$313k,"Australian Photovoltaic Institute (APVI)","Australian Solar Institute",01/09/2012,"New South Wales",None,Past
"Reservoir Quality in Sedimentary Geothermal Resources",https://arena.gov.au/projects/reservoir-quality-in-sedimentary-geothermal-resources/,"Geothermal energy","The Reservoir Quality in Sedimentary Geothermal Resources project analysed the only two geothermal wells drilled in Hot Sedimentary Aquifer reservoirs in Australia to evaluate why the flow of fluid was significantly less than expected.
",$1.25m,$3.5m,"South Australian Centre for Geothermal Energy Research (SACGER) and the University of Adelaide","Emerging Renewables Program",01/09/2012,"Adelaide, South Australia","CSIRO, South Australian Department of State Development (formerly DMITRE), Geodynamics Ltd, Raya Group Ltd (Formerly Panax Geothermal Ltd), South Australian Museum",Past
"Development of an Australian Solar Map",https://arena.gov.au/projects/development-of-an-australian-solar-map/,"Solar energy","This project involves the development of an interactive live solar photovoltaic (PV) map that tracks the uptake and impact of PV across Australia.
",$443k,$588k,"Australian Photovoltaic Institute (participants University of NSW, CAT Projects, Sunwiz, SMA)","Australian Solar Institute",01/09/2012,"New South Wales",None,Past
"Solar Resource Mapping Project",https://arena.gov.au/projects/solar-resource-mapping-project/,"Solar energy","The Solar Resource Mapping Project contributed to the creation of the Australian Solar Energy Information System, funded the development of better satellite models for depicting solar radiation, and funded eight additional solar radiation ground monitoring stations.
",$443k,$588k,"Geoscience Australia","Australian Solar Institute",01/09/2012,"New South Wales",None,Past
"Cost Effective Silicon Solar Cells",https://arena.gov.au/projects/cost-effective-silicon-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop cost effective silicon solar cells using upgraded-metallurgical-grade silicon.
",$338k,$338k,"Australian National University","Post Fellowship Doctorate",01/09/2012,"Australian Capital Territory, Canberra",None,Past
"Colloidal Nanoparticle Solar Cells",https://arena.gov.au/projects/colloidal-nanoparticle-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop high efficiency hetrojunction solar cells based on colloidal nanoparticles suitable for application to a variety of device geometries.
",$327k,$327k,"University of New South Wales","Post Fellowship Doctorate",12/07/2012,"Kensington, New South Wales",None,Past
"Plasmonic Rear Reflectors for Solar Cells",https://arena.gov.au/projects/plasmonic-rear-reflectors-for-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to investigate and develop increased rear surface reflectance in silicon solar cells using plasmonic.
",$370k,$370k,"University of New South Wales","Post Fellowship Doctorate",12/07/2012,"Kensington, New South Wales",None,Past
"Hybrid Concentrating Solar Thermal Systems",https://arena.gov.au/projects/hybrid-concentrating-solar-thermal-systems-for-large-scale-applications/,"Concentrated solar thermal","The Hybrid Concentrating Solar Thermal Systems project demonstrated the successful design, integration and operation of a high temperature solar heat (150 to 200 degrees Celsius) building space heating and cooling system, and provided a pathway for realising a world first high efficiency solar thermal desiccant air conditioning system.
",$520k,$1.07m,CSIRO,"Australian Solar Institute",01/07/2012,"Victoria, Wendouree",None,Past
"Solar Hybrid Fuels",https://arena.gov.au/projects/solar-hybrid-fuels/,"Concentrated solar thermal","The Solar Hybrid Fuels project looked at two streams of work. The first stream aimed to make synthetic gas (syngas) from natural gas at lower temperatures compatible with conventional solar thermal storage while maintaining high efficiency, to allow for the 24/7 operation of an industrial solar fuels plant. The second stream of work produced a detailed roadmap and recommendations for solar hybrid fuel technology options and opportunities suitable for Australia.
",$1.63m,$3.56m,CSIRO,"Australian Solar Institute",01/07/2012,"New South Wales, Newcastle",None,Past
"Solar Energy Management System for Utilities",https://arena.gov.au/projects/solar-energy-management-system-for-utilities/,"Solar energy","CSIRO developed a world-first ‘firm’ solar energy system to reliably reduce the impacts of peak demand by tackling air conditioner electrical consumption, which is the primary cause of peak demand in Australian electricity networks.
",$225k,$665k,CSIRO,"Australian Solar Institute",01/07/2012,"Queensland, Rowes Bay",None,Past
"BPS bioWAVE Ocean Pilot at Port Fairy",https://arena.gov.au/projects/biowave-ocean-pilot-at-port-fairy/,"Ocean energy","This project aimed to demonstrate an innovative new method for converting wave energy into electricity using the patented bioWAVE technology to efficiently convert wave energy to mechanical energy via a unique mechanical-to-electrical energy converter.
",$11.54m,$23.78m,"BioPower Systems Pty Ltd","Emerging Renewables Program",28/06/2012,"Port Fairy, Victoria",None,Past
"Potential Network Benefits of CST Power",https://arena.gov.au/projects/potential-network-benefits-of-csp-in-the-nem/,"Concentrated solar thermal","This study was undertaken to quantify the potential benefits of installing CSP generation at constrained network locations in the National Electricity Market (NEM).
",$180k,$271k,"Australian Solar Thermal Energy Association (AUSTELA)","Emerging Renewables Program",28/06/2012,"New South Wales, Sydney",None,Past
"Integrated PV Solar Roofing",https://arena.gov.au/projects/integrated-pv-solar-roofing/,"Solar energy","This project aimed to develop low cost building integrated photovoltaic (BIPV) roofing for mass market residential and commercial applications on Australian buildings.
",$2.28m,$5.05m,"BlueScope Steel Limited","Emerging Renewables Program",27/06/2012,"New South Wales, Sydney, Wollongong","Invetech, RESA",Past
"Generating Renewable Energy from Almond Waste",https://arena.gov.au/projects/generating-renewable-energy-from-almond-waste/,"Bioenergy / Energy from waste","The Generating Renewable Energy from Almond Waste project analysed the commercial viability of generating renewable energy from almond waste.
",$32k,$47k,"Almond Board of Australia Inc","Emerging Renewables Program",27/06/2012,"Berri, South Australia","GreenFusion, Green Ochre, EconSearch",Past
"Oceanlinx 1MW Commercial Wave Energy Demonstrator",https://arena.gov.au/projects/oceanlinx-1mw-commercial-wave-energy-demonstrator/,"Ocean energy","(Project closed 20 June 2014) The Oceanlinx commercial wave energy demonstrator is a 3,000 tonne structure measuring approximately 21 metres wide by 24 metres long. The device was designed to sit in shallow water, using oscillating water column (OWC) technology to generate 1MW peak output.
",$3.94m,$6.58m,Oceanlinx,"Emerging Renewables Program",27/06/2012,"Port MacDonnell, South Australia","OEC Pty Ltd, Strategic formwork, Techport, COOE Pty Ltd, ACOR, ABB, VACON, Power & Drive Solutions, Broens Ltd",Past
"Plasmonic Light Trapping for Solar Cells",https://arena.gov.au/projects/plasmonic-light-trapping-for-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to investigate plasmonic light trapping for solar cells.
",$109k,$109k,"University of New South Wales","Post Fellowship Doctorate",27/06/2012,"Kensington, New South Wales",None,Past
"Effect of Nano-Size Structures & Composition on Solar Water Disinfection",https://arena.gov.au/projects/effect-of-nano-size-structures-composition-on-solar-water-disinfection/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to assess the effect of titanium dioxide based nanostructures and semiconducting properties on oxidation of solar water.
",$107k,$107k,"University of Western Sydney","Post Fellowship Doctorate",26/06/2012,"Kingswood, New South Wales",None,Past
"Hybridisation of Concentrated Solar Thermal",https://arena.gov.au/projects/hybridisation-of-concentrated-solar-thermal-with-carbon-capture-and-storage/,"Concentrated solar thermal","The Hybridisation of Concentrated Solar Thermal project achieved the world’s first practical demonstration of pilot scale Post-Combustion Carbon dioxide capture (PCC) process integrated with solar thermal energy and demonstrates an important low emissions energy solution to achieving substantial emissions reductions from Australian coal fired electricity generation with the potential for large scale deployment of solar thermal fields in Australia.
",$667k,$1.85m,CSIRO,"Australian Solar Institute",19/06/2012,"New South Wales, Newcastle",None,Past
"Least-Cost Carbon Abatement Modelling",https://arena.gov.au/projects/least-cost-carbon-abatement-modelling/,"Renewables for industry","This project is developing a software tool that links together weather variability, renewable and fossil technologies, transmission and economic market models, in many hundreds of thousands of combinations, to find the most affordable ways to significantly increase the use of renewable energy in the electricity system.
",$1.03m,$1.38m,"University of Melbourne","Emerging Renewables Program",14/06/2012,"Melbourne, Victoria","University of NSW, Australian Energy market Operator, Bureau of Meteorology, GE and Market Reform",Past
"Achieving Cost-Affective Abatement",https://arena.gov.au/projects/achieving-cost-effective-abatement-australian-electricity-generation/,"Hybrid technologies","Prior to these studies being undertaken, there was limited evidence and supporting information as to the relative benefits of a Renewable Energy Target versus a carbon price in terms of the transition to a low carbon energy system.
",$1.03m,$1.03m,"University of Melbourne","Advancing Renewables Program",14/06/2012,"Melbourne, Victoria","University of NSW",Past
"Daly River Solar Research Project",https://arena.gov.au/projects/daly-river-solar-research-project/,"Solar energy","
PWC owns and operates over 50 mini-grids across the Northern Territory, providing power to remote Indigenous communities. These mini-grids predominantly rely on diesel fuel for power generation, which is associated with high operational costs, significant risk exposure to future price increases and greenhouse gas emissions. PWC recognises the opportunity provided by solar technologies to reduce its reliance on diesel fuel for remote power generation.

",$462k,$854k,"Power and Water Corporation","Australian Solar Institute",07/06/2012,"Darwin, Northern Territory",None,Past
"High Efficiency, Multi-Junction CPV Solar Cells",https://arena.gov.au/projects/high-efficiency-multi-junction-cpv-solar-cells-on-low-cost-large-area-silicon-substrates/,"Solar energy","The High Efficiency, Multi-Junction CPV Solar Cells project is developing virtual germanium (Ge) and germanium-tin (Ge-Sn) on silicon wafers for the next generation of multiple-junction solar cells, which are low in cost but highly efficient, meaning they can convert more energy from sunlight than most other solar cells.
",$1.2m,$4.36m,"Solar Systems Pty Ltd","Australian Solar Institute",02/06/2012,"Abbotsford, Victoria",None,Past
"Next Generation Crystalline Silicon on Glass Modules",https://arena.gov.au/projects/next-generation-crystalline-silicon-on-glass-modules/,"Solar energy","This project aimed to increase the efficiency of crystalline silicon on glass thin-film solar cells beyond the current world record and to reduce the manufacturing costs by developing new breakthrough approaches to the cell fabrication.
",$1.17m,$5.34m,"University of NSW","Australian Solar Institute",01/06/2012,"New South Wales, Sydney","Suntech R&D Australia",Past
"Central Receiver CPV Pilot Project Stage 2",https://arena.gov.au/projects/central-receiver-cpv-pilot-project-stage-2/,"Solar energy","This project demonstrated the world’s first pre-commercial pilot of a central receiver system that uses solar photovoltaic (PV) energy conversion.
",$1.75m,$3.63m,"RayGen Resources Pty Ltd","Australian Solar Institute",17/05/2012,"New South Wales, Newbridge",None,Past
"Improved High-Temperature Receivers for Dish Concentrators",https://arena.gov.au/projects/world-class-solar-thermal-concentrators/,"Concentrated solar thermal","This project is investigating heat loss from high-temperature solar thermal receivers and developing the next generation of improved receiver designs to reduce that loss.
",$1.48m,$3.38m,"Australian National University","Australian Solar Institute",01/05/2012,"Australian Capital Territory","CSIRO Newcastle Sandia National Laboratories",Past
"Pilot Study on Load Control and Optimisation",https://arena.gov.au/projects/pilot-study-on-load-control-and-optimisation/,"Hybrid technologies","This project is a study of research and development of hybrid technologies to develop an AI smart grid control and optimisation system.
",$333k,$333k,"Charles Darwin University","Post Fellowship Doctorate",01/05/2012,"Haymarket, New South Wales",None,Past
"Perth Wave Energy Project",https://arena.gov.au/projects/perth-wave-energy-project/,"Ocean energy","The Perth Wave Energy Project is the world’s first commercial-scale wave energy array that is connected to the grid and has the ability to produce desalinated water.
",$13.09m,$39.87m,"Carnegie Clean Energy Limited","Emerging Renewables Program",30/04/2012,"Western Australia",None,Past
"Small Scale Hydropower Technologies Impact on Australian Native Fish",https://arena.gov.au/projects/impact-of-small-scale-hydropower-technologies-on-australian-native-fish-species-2/,"Hydropower / Pumped Hydro Energy Storage","This Small Scale Hydropower Technologies Impact on Australian Native Fish project produced detailed scientific information on the effects small hydro has on native fish species, which could be used to improve the design and operation of small hydro systems.
",$613k,$1.12m,"Waratah Power Pty Ltd","Emerging Renewables Program",30/04/2012,"New South Wales, Sydney","Office of Environment and Heritage (NSW), NSW Department of Primary Industries, Aquatic Ecosystems (NSW), UNSW Manly Hydraulics Lab",Past
"Cost Effective Industrial Scale Synthesis",https://arena.gov.au/projects/cost-effective-industrial-scale-synthesis/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop a cost effective industrial scale synthesis of regio regular poly-3-hexylthiophene using flow chemistry.
",$35k,$35k,"The University of Newcastle","Post Fellowship Doctorate",26/04/2012,"New South Wales, Newcastle",None,Past
"Development of Hybrid Solar Thermal Reactors for Materials Processing",https://arena.gov.au/projects/development-of-hybrid-solar-thermal-reactors-for-materials-processing/,"Concentrated solar thermal","This project is a study of research and development of solar thermal technologies to optimise the use of solar thermal energy in the design and construction of a hybrid solar/electric reactor for high temperature processes by utilising a novel solar simulator design.
",$96k,$96k,"Swinburne University of Technology","Post Fellowship Doctorate",26/04/2012,"Hawthorn, Victoria",None,Past
"Semiconductor Nanowire Solar Cells",https://arena.gov.au/projects/semiconductor-nanowire-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop III-V compound semiconductor nanowire solar cells.
",$22k,$22k,"Australian National University","Post Fellowship Doctorate",24/04/2012,"Australian Capital Territory, Canberra",None,Past
"Australian Feedstock and Refining Capacity",https://arena.gov.au/projects/australian-feedstock-and-refining-capacity-to-produce-sustainable-aviation-fuel-saf/,"Bioenergy / Energy from waste","Qantas and Shell Australia collaborated to undertake a feasibility study into Australian feedstock (material that can be processed into biofuel) and refining capacity to produce Sustainable Aviation Fuel.
",$575k,$995k,Qantas/Shell,"Advancing Renewables Program",12/04/2012,"New South Wales, Sydney","Shell Australia",Past
"Enhancing Efficiencies in Printed Solar Cells",https://arena.gov.au/projects/enhancing-efficiencies-in-printed-solar-cells-by-controlling-morphology-development-2/,"Solar energy","This Enhancing Efficiencies in Printed Solar Cells project successfully improved the production of effective and reliable, low-cost printed organic solar cells by controlling the way the organic components in the cell align with each other at a microscopic (molecular) level during the ink drying process.
",$500k,$1.21m,"University of Melbourne","Australian Solar Institute",01/04/2012,"Melbourne, Victoria",None,Past
"Analysis of Variations in Instantaneous Weather Effects",https://arena.gov.au/projects/analysis-of-variations-in-instantaneous-weather-effects/,"Solar energy","This project has developed innovative strategies for the distribution of mature, commercialised PV technologies within existing electricity networks, and in particular identified that up to 10MW of distributed solar PV could be installed within the Alice Springs grid.
",$242k,$521k,"Ekistica Pty Ltd trading as CAT Projects","Australian Solar Institute",26/03/2012,"Alice Springs, Northern Territory",None,Past
"Local Doping Using Laser Chemical Processing Technology",https://arena.gov.au/projects/local-doping-using-laser-chemical-processing-technology-for-advanced-silicon-solar-cells/,"Solar energy","The Local Doping Using Laser Chemical Processing Technology project further developed a novel doping method called Laser Chemical Processing (LCP) so it can be used in the production of high efficiency, low cost cells.
",$352k,$1.05m,"Australian National University (ANU)","Emerging Renewables Program",26/03/2012,"Australian Capital Territory",None,Past
"Solar Efficiency Optimisation of Hybrid Organic-Inorganic Solar Cells",https://arena.gov.au/projects/solar-efficiency-optimisation-of-hybrid-organic-inorganic-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to improve solar efficiency of hybrid organic-inorganic solar cells.
",$351k,$351k,"University of New South Wales","Australian Solar Institute",26/03/2012,"Kensington, New South Wales",None,Past
"Development of High Temperature Phase Change Storage Systems",https://arena.gov.au/projects/development-of-high-temperature-phase-change-storage-systems/,"System security and reliability","This project is a study of research and development of enabling technologies to develop high temperature phase change storage systems and a test facility.
",$689k,$2.33m,"University of South Australia","Australian Solar Institute",26/03/2012,"Adelaide, South Australia",None,Past
"Optimising Building Integrated Photovoltaic Thermal for Retrofitting",https://arena.gov.au/projects/optimising-thin-film-building-integrated-photovoltaic-thermal-for-retrofitting/,"Solar energy","The project objective was to broaden the value proposition of Building Integrated Photovoltaic (BIPV) systems through an enhanced understanding of the performance and optimal design of BIPV systems with added thermal functionality, i.e. Building Integrated Photovoltaic Thermal (BIPVT) systems.
",$477k,$1.59m,"BlueScope Steel Limited","Australian Solar Institute",14/03/2012,"New South Wales",None,Past
"Demonstrate Higher Efficiency Third Generation Photovoltaics",https://arena.gov.au/projects/demonstrate-higher-efficiency-third-generation-photovoltaics/,"Solar energy","The Demonstrate Higher Efficiency Third Generation Photovoltaics project aims to increase the efficiency of one type of third generation solar cell by increasing the number of layers of nanoscopic silicon crystals (silicon nanocrystals or Si NC) in silicon oxide and silicon nitride.
",$500k,$1.59m,"University of NSW","Australian Solar Institute",14/03/2012,"New South Wales",None,Past
"Time & Spectrally Resolved Photo-Silicon Solar Cell Characterisation",https://arena.gov.au/projects/time-spectrally-resolved-photo-silicon-solar-cell-characterisation/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop a new time decay luminescence measurement technique for silicon solar cell characterisation.
",$490k,$984k,"University of New South Wales","Australian Solar Institute",11/03/2012,"Kensington, New South Wales",None,Past
"ITO Free Efficient Organic Solar Cells",https://arena.gov.au/projects/ito-free-efficient-organic-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop indium-tin-oxide (ITO) free, efficient organic solar cells based on textured graphene electrodes
",$320k,$320k,CSIRO,"Post Fellowship Doctorate",11/03/2012,"Clayton, Victoria",None,Past
"Data Fusion and Machine Learning",https://arena.gov.au/projects/data-fusion-and-machine-learning-for-geothermal/,"Geothermal energy","The resulting information and software can be used to improve exploration, discovery and characterisation methods for targeted geothermal exploration.
",$1.87m,$6.59m,"National ICT Australia (NICTA)","Emerging Renewables Program",07/03/2012,"New South Wales, Sydney",None,Past
"Solar Supercritical Organic Rankine Cycle",https://arena.gov.au/projects/solar-supercritical-organic-rankine-cycle-for-power-and-industrial-heat/,"Concentrated solar thermal","The Solar Supercritical Organic Rankine Cycle project demonstrates an innovative CST system’s ability to provide 24/7 electricity. The project will use integrated solar thermal storage while operating as an automated plant with a gas heater.
",$812k,$1.79m,"Granite Power Ltd","Australian Solar Institute",02/03/2012,"New South Wales, Newcastle",None,Past
"Large-Area Amorphous Silicon Ultrathin Film Plasmonic Solar Cells",https://arena.gov.au/projects/large-area-amorphous-silicon-ultrathin-film-plasmonic-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to achieve more cost-effective, large-area amorphous silicon ultrathin film plasmonic solar cells, which can be scaled up towards industrial application.
",$343k,$343k,"Swinburne University of Technology","Post Fellowship Doctorate",02/03/2012,"Hawthorn, Victoria",None,Past
"Solar Gasification Using Renewable Energy",https://arena.gov.au/projects/solar-gasification-using-renewable-energy/,"Concentrated solar thermal","This project is a study of research and development of solar thermal technologies to assess the technical and economic viability of production of liquid transport fuel via solar gasification of low-grade carbonaceous fuels.
",$273k,$273k,"The University of Adelaide","Post Fellowship Doctorate",28/02/2012,"Adelaide, South Australia",None,Past
"Solution Deposited Thin-Film Tandem Solar Cells",https://arena.gov.au/projects/solution-deposited-thin-film-tandem-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop solution deposited thin-film tandem solar cells.
",$83k,$83k,CSIRO,"Post Fellowship Doctorate",21/02/2012,"Clayton, Victoria",None,Past
"High-Energy Algal Fuels",https://arena.gov.au/projects/high-energy-algal-fuels/,"Bioenergy / Energy from waste","The High-Energy Algal Fuels project integrated macroalgal biomass production into existing industrial infrastructure for the bioremediation of toxins from wastewater and the reduction of carbon emissions through photosynthesis. The biomass did not compete for arable land or quality water by being cultivated in waste water.
",$5m,$12.03m,"James Cook University","Advancing Renewables Program",20/02/2012,"Queensland, Townsville",None,Past
"Thermionic Emissions from MAX Phase Materials",https://arena.gov.au/projects/thermionic-emissions-from-max-phase-materials/,"Concentrated solar thermal","This project is a study of research and development of solar thermal technologies to develop thermionic cathode materials based on MAX phases.
",$52k,$52k,"The University of Newcastle","Post Fellowship Doctorate",09/02/2012,"New South Wales, Newcastle",None,Past
"Spectral Beam Splitting for Improving Energy Conversion Efficiency",https://arena.gov.au/projects/spectral-beam-splitting-for-improving-energy-conversion-efficiency/,"Concentrated solar thermal","This project is a study of research and development of solar thermal technologies to examine spectral beam splitting systems to improve the energy conversion efficiency in hybrid concentrating solar collectors.
",$39k,$39k,RMIT,"Post Fellowship Doctorate",02/02/2012,"Melbourne, Victoria",None,Past
"Validation of CST Solar Array Performance Modelling",https://arena.gov.au/projects/validation-of-cst-solar-array-performance-modelling/,"Concentrated solar thermal","Building on an existing testing and demonstration facility comprising 200 mirrors, Vast Solar constructed and deployed an additional 500 mirrors, developed a higher temperature receiver, operated the facility and gathered performance data, then determined operational requirements.
",$437k,$1.26m,"Vast Solar Pty Ltd","Australian Solar Institute",01/02/2012,"Jemalong, New South Wales",None,Past
"Understanding and Optimising Dielectric Charge in Solar Cells",https://arena.gov.au/projects/understanding-and-optimising-dielectric-charge-in-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to understand and optimise dielectric charge in industry applicable solar cells.
",$52k,$52k,"Australian National University","Post Fellowship Doctorate",31/01/2012,"Australian Capital Territory, Canberra",None,Past
"Facilitating High Penetration PV Integration into the Electricity Network",https://arena.gov.au/projects/facilitating-high-penetration-pv-integration-into-the-electricity-network/,"System security and reliability","This project is a study of research and development of enabling technologies to facilitate high penetration photovoltaic (PV) integration into the electricity network.
",$125k,$125k,"University of New South Wales","Post Fellowship Doctorate",20/01/2012,"Kensington, New South Wales",None,Past
"Material Characteristics of Crystalline Si Thin-Film Solar Cells",https://arena.gov.au/projects/material-characteristics-of-crystalline-si-thin-film-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to study the impacts of material characteristics on the performance of crystalline silicon thin-film solar cells.
",$84k,$84k,"University of New South Wales","Post Fellowship Doctorate",17/01/2012,"Kensington, New South Wales",None,Past
"Light-Weight and Flexible Solid-State Dye-Sensitised Solar Cells",https://arena.gov.au/projects/light-weight-and-flexible-solid-state-dye-sensitised-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to investigate light-weight and flexible solid-state dye-sensitised solar cells.
",$49k,$49k,"The University of Wollongong","Post Fellowship Doctorate",05/01/2012,"New South Wales, Wollongong",None,Past
"Testing Facility for Storing Heat from Solar Energy",https://arena.gov.au/projects/development-of-a-testing-facility-for-storing-heat-from-solar-energy-at-high-temperatures/,"Concentrated solar thermal","This project established a world class facility to test newly-developed high temperature storage systems and technologies operating at up to 900 degrees Celcius.
",$120k,$120k,"University of South Australia","Australian Solar Institute",23/12/2011,"Adelaide, South Australia","AORA Solar (Israel), University of Lleida (Spain)",Past
"Trapping Detrapping and Loss Mechanisms in Dye Sensitised Solar Cells",https://arena.gov.au/projects/trapping-detrapping-and-loss-mechanisms-in-dye-sensitised-solar-cells/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to investigate trapping, detrapping and loss mechanisms in dye sensitised solar cells.
",$49k,$49k,"Monash University","Post Fellowship Doctorate",23/12/2011,"Clayton, Victoria",None,Past
"Nanostructured and Metamaterial Photovoltaics",https://arena.gov.au/projects/nanostructured-and-metamaterial-photovoltaics/,"Solar energy","This project is a study of research and development of solar photovoltaic (PV) technologies to develop novel simulation methods for greater insights into nanostructured and metamaterial photovoltaics.
",$48k,$48k,"University of Sydney","Post Fellowship Doctorate",23/12/2011,"Camperdown, New South Wales",None,Past
"Development of a State of the Art Solid Particle Receiver CST System",https://arena.gov.au/projects/development-of-a-state-of-the-art-solid-particle-receiver-cst-system/,"Concentrated solar thermal","This project is a study of research and development of solar thermal technologies to design and assess the commercialisation potential of a concentrated solar thermal tower system, based on a high temperature solid particle receiver.
",$120k,$120k,"Murdoch University","Post Fellowship Doctorate",23/12/2011,"Murdoch, Western Australia",None,Past
"Better Modelling of Concentrated Solar Thermal Power Plants",https://arena.gov.au/projects/better-modelling-of-concentrated-solar-thermal-power-plants/,"Concentrated solar thermal","This project is a study of research and development of solar thermal technologies to investigate better modelling of concentrated solar thermal power plants.
",$83k,$83k,"Australian National University","Post Fellowship Doctorate",17/12/2011,"Australian Capital Territory, Canberra",None,Past
"Towards a Practical Hot Carrier Solar Cell",https://arena.gov.au/projects/towards-a-practical-hot-carrier-solar-cell/,"Solar energy","This project is investigating suitable materials and structures that could be used to produce a working model of a Hot Carrier solar cell, which can more effectively harvest energy from sunlight.
",$2.27m,$6.54m,"University of NSW","Australian Solar Institute",14/12/2011,"New South Wales, Sydney","Arizona State University, Purdue University, National Renewable Energy Laboratory, and Lawrence Berkeley National Laboratory",Past
"Cost Effective Gallium Arsenide Phosphide Top Solar Cell",https://arena.gov.au/projects/cost-effective-gallium-arsenide-phosphide-top-solar-cell-grown-on-a-high-performance-low-cost-silicon-solar-cell/,"Solar energy","The project aims to cut solar energy costs by developing a high voltage solar cell that will be 40% more efficient than solar cells being used today.
",$2.61m,$7.11m,"University of NSW","Australian Solar Institute",14/12/2011,"New South Wales",None,Past
"Multi-Junction Silicon Solar Cells",https://arena.gov.au/projects/multi-junction-silicon-solar-cells/,"Solar energy","This project aims to produce the first silicon-based solar cell with more than 30% efficiency, challenging the UNSW-held world record for conventional silicon wafer technology.
",$1.45m,$6.99m,"University of NSW (UNSW)","Australian Solar Institute",14/12/2011,"New South Wales",None,Past
